"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Eighth Other","Eighth Other","Eighth Other","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Eleventh Other","Eleventh Other","Eleventh Other","14"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fifth Hexamester","Fifth Hexamester","Fifth Hexamester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fifth Other","Fifth Other","Fifth Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fifth Quinmester","Fifth Quinmester","Fifth Quinmester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fifth Summer","Fifth Summer","Fifth Summer","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Hexamester","First Hexamester","First Hexamester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Other","First Other","First Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Quarter","First Quarter","First Quarter","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Quinmester","First Quinmester","First Quinmester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Semester","First Semester","First Semester","14"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Summer","First Summer","First Summer","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","First Trimester","First Trimester","First Trimester","15"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourteenth Other","Fourteenth Other","Fourteenth Other","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourth Hexamester","Fourth Hexamester","Fourth Hexamester","17"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourth Other","Fourth Other","Fourth Other","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourth Quarter","Fourth Quarter","Fourth Quarter","14"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourth Quinmester","Fourth Quinmester","Fourth Quinmester","17"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Fourth Summer","Fourth Summer","Fourth Summer","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","MiniTerm","MiniTerm","MiniTerm","8"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Ninth Other","Ninth Other","Ninth Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Non-Scheduled","Non-Scheduled","Non-Scheduled","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Other","Other","Other","5"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Quarter","Quarter","Quarter","7"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Hexamester","Second Hexamester","Second Hexamester","17"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Other","Second Other","Second Other","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Quarter","Second Quarter","Second Quarter","14"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Quinmester","Second Quinmester","Second Quinmester","17"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Semester","Second Semester","Second Semester","15"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Summer","Second Summer","Second Summer","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Second Trimester","Second Trimester","Second Trimester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Semester","Semester","Semester","8"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Seventh Other","Seventh Other","Seventh Other","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Sixth Hexamester","Sixth Hexamester","Sixth Hexamester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Sixth Other","Sixth Other","Sixth Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Sixth Summer","Sixth Summer","Sixth Summer","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Summer Semester","Summer Semester","Summer Semester","15"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Tenth Other","Tenth Other","Tenth Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Hexamester","Third Hexamester","Third Hexamester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Other","Third Other","Third Other","11"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Quarter","Third Quarter","Third Quarter","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Quinmester","Third Quinmester","Third Quinmester","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Summer","Third Summer","Third Summer","12"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Third Trimester","Third Trimester","Third Trimester","15"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Thirteenth Other","Thirteenth Other","Thirteenth Other","16"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Trimester","Trimester","Trimester","9"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Twelfth Other","Twelfth Other","Twelfth Other","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Year Round","Year Round","Year Round","10"
